Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,CLOSE,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2021-03-26,EQ,1381,"1,411.45","1,379.00","1,372.75","1,409.60",1405.6,"1,400.16","1,428.00",385.05,1764994,"2,47,12,73,894.95",42116
2021-03-30,EQ,1416.6,"1,441.65","1,395.75","1,405.60","1,418.45",1422.6,"1,422.48","1,441.65",438.2,2574303,"3,66,18,86,235.20",66750
2021-03-31,EQ,1417,"1,456.00","1,410.00","1,422.60","1,454.90",1450.55,"1,442.06","1,456.00",438.2,1242119,"1,79,12,14,902.20",38189
2021-04-01,EQ,1460,"1,467.00","1,436.95","1,450.55","1,453.05",1454.5,"1,451.76","1,467.00",438.2,1270201,"1,84,40,21,583.35",43912
2021-04-05,EQ,1455,"1,472.70","1,425.10","1,454.50","1,444.00",1446.5,"1,448.17","1,472.70",463,1396534,"2,02,24,16,908.45",33461
2021-04-06,EQ,1447,"1,449.25","1,426.00","1,446.50","1,427.10",1432.55,"1,435.36","1,472.70",463,736903,"1,05,77,24,528.20",22641
2021-04-07,EQ,1427.8,"1,444.50","1,427.80","1,432.55","1,436.00",1437.4,"1,436.44","1,472.70",463,606884,"87,17,53,441.95",17758
2021-04-08,EQ,1446.8,"1,463.30","1,433.55","1,437.40","1,450.00",1447.8,"1,449.66","1,472.70",463,1566826,"2,27,13,66,236.25",44125
2021-04-09,EQ,1455,"1,469.35","1,432.85","1,447.80","1,437.70",1440,"1,450.86","1,472.70",463,1125347,"1,63,27,15,640.25",36972
2021-04-12,EQ,1417.95,"1,424.95","1,367.55","1,440.00","1,378.50",1376.6,"1,390.66","1,472.70",469.2,1323690,"1,84,08,05,205.75",46007
2021-04-13,EQ,1372.8,"1,406.70","1,370.60","1,376.60","1,389.55",1392.2,"1,392.56","1,472.70",469.2,1423254,"1,98,19,72,509.95",47897
2021-04-15,EQ,1393,"1,399.95","1,325.00","1,392.20","1,349.00",1349.25,"1,343.53","1,472.70",469.2,2008929,"2,69,90,61,025.50",61106
