Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,LTP,CLOSE,VWAP,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2021-06-15,EQ,2970,"3,050.00","2,960.95","2,949.90","3,035.00",3042.2,"3,022.63","3,050.00","1,587.30",2262031,"6,83,72,91,109.25",129837
2021-06-16,EQ,3029,"3,042.20","3,005.50","3,042.20","3,017.95",3018.7,"3,022.71","3,050.00","1,587.30",859505,"2,59,80,37,094.20",45884
2021-06-17,EQ,3017.95,"3,073.95","3,000.50","3,018.70","3,059.90",3060.3,"3,053.42","3,073.95","1,587.30",1533864,"4,68,35,23,669.95",76201
2021-06-18,EQ,3061.55,"3,077.80","3,016.05","3,060.30","3,050.05",3047.2,"3,043.93","3,077.80","1,587.30",2293860,"6,98,23,51,087.00",83345
2021-06-21,EQ,3024.2,"3,079.15","3,021.05","3,047.20","3,071.20",3068.55,"3,064.78","3,079.15","1,624.00",720491,"2,20,81,47,851.80",52068
2021-06-22,EQ,3085,"3,092.85","3,004.20","3,068.55","3,015.00",3010.8,"3,042.11","3,092.85","1,624.00",1199238,"3,64,82,12,001.45",62200
2021-06-23,EQ,3030,"3,030.00","2,983.50","3,010.80","2,995.00",2987.35,"3,000.87","3,092.85","1,624.00",1009007,"3,02,78,95,738.40",59721
2021-06-24,EQ,2987.35,"3,049.70","2,975.45","2,987.35","3,044.00",3043.25,"3,014.66","3,092.85","1,624.00",985596,"2,97,12,32,263.50",53646
2021-06-25,EQ,3030.2,"3,053.50","2,985.00","3,043.25","3,006.90",3003.9,"3,006.00","3,092.85","1,624.00",786964,"2,36,56,11,038.90",62490
2021-06-28,EQ,3024,"3,038.85","2,976.25","3,003.90","2,986.65",2982.95,"3,002.00","3,092.85","1,645.10",891695,"2,67,68,69,204.50",52409
2021-06-29,EQ,2989,"3,023.85","2,973.05","2,982.95","3,003.00",3001.5,"2,996.75","3,092.85","1,645.10",1242734,"3,72,41,65,759.95",61535
2021-06-30,EQ,2999,"3,030.00","2,985.65","3,001.50","3,002.00",2992.7,"3,006.53","3,092.85","1,645.10",924522,"2,77,96,00,708.80",56390
2021-07-01,EQ,3008,"3,026.90","2,997.00","2,992.70","3,023.15",3021.6,"3,014.31","3,092.85","1,645.10",848235,"2,55,68,46,184.65",41304
2021-07-02,EQ,3032.95,"3,038.80","2,999.75","3,021.60","3,004.00",3005,"3,014.79","3,092.85","1,645.10",805542,"2,42,85,43,353.65",46092
2021-07-05,EQ,3020,"3,050.00","3,007.10","3,005.00","3,011.05",3014.8,"3,023.30","3,092.85","1,645.10",863343,"2,61,01,46,036.00",47086
2021-07-06,EQ,3003,"3,029.50","2,996.00","3,014.80","3,006.50",3002.5,"3,007.63","3,092.85","1,645.10",762630,"2,29,37,12,568.25",46717
2021-07-07,EQ,3065,"3,069.00","3,011.25","3,002.50","3,035.85",3040.1,"3,034.29","3,092.85","1,645.10",1234865,"3,74,69,37,365.90",64849
2021-07-08,EQ,3050,"3,059.00","3,018.80","3,040.10","3,034.00",3028.3,"3,033.76","3,092.85","1,645.10",907391,"2,75,28,04,512.05",51739
2021-07-09,EQ,3022,"3,039.15","3,007.00","3,028.30","3,013.00",3010.6,"3,016.09","3,092.85","1,645.10",547082,"1,65,00,51,148.05",38694
2021-07-12,EQ,3034.9,"3,042.85","2,991.05","3,010.60","3,000.00",2999.4,"3,009.20","3,092.85","1,645.10",765566,"2,30,37,44,133.35",47137
2021-07-13,EQ,3020,"3,021.10","2,985.35","2,999.40","2,998.20",2993.85,"2,999.24","3,092.85","1,645.10",703484,"2,10,99,18,847.25",47346
2021-07-14,EQ,3003,"3,007.75","2,984.20","2,993.85","3,001.00",3001.95,"2,998.85","3,092.85","1,645.10",470744,"1,41,16,92,035.85",41588
2021-07-15,EQ,3010,"3,011.00","2,971.10","3,001.95","2,988.50",2983.6,"2,984.81","3,092.85","1,645.10",635535,"1,89,69,48,406.10",51815
2021-07-16,EQ,2994,"3,006.00","2,965.00","2,983.60","2,989.90",2989.3,"2,983.47","3,092.85","1,645.10",1062548,"3,17,00,82,917.90",54021
2021-07-19,EQ,2989.3,"2,999.70","2,965.00","2,989.30","2,980.00",2981.95,"2,981.64","3,092.85","1,682.00",837836,"2,49,81,24,639.40",55888
